SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
M1293,1,1293,4.57542060191291e-33,0.479,1000,0.0349250842868588,0.184090323395746,4.57542060191291e-29,1.46025158335721
M7517,4,1517,3.85597625038048e-20,0.4945,1000,0.0349250842868588,0.120147713240963,1.92798812519024e-16,-1.10761010268362
M8133,5,133,2.8372732344799e-19,0.476,1000,0.0349250842868588,0.11600606617933,9.45757744826634e-16,-1.05981658335077
M4264,3,264,1.46001558583106e-15,0.496,1000,0.0349250842868588,0.098485335897437,3.65003896457765e-12,0.943523896305805
M1491,1,1491,5.96391310500542e-14,0.4845,1000,0.0349250842868588,0.0909902849844227,1.19278262100108e-10,0.882279115113761
M6836,4,836,4.64866580118463e-13,0.475,1000,0.0349250842868588,0.0868717853092247,7.74777633530772e-10,0.83864273305494
M3571,2,1571,6.597270132237e-12,0.495,1000,0.0349250842868588,0.0815843487317048,9.42467161748142e-09,-0.826027892856416
M4584,3,584,4.01822855643911e-10,0.489,1000,0.0349250842868588,0.0734705975455506,5.02278569554889e-07,-0.742268530227875
M7804,4,1804,8.92401354288838e-10,0.479,1000,0.0349250842868588,0.0719067142031974,9.91557060320931e-07,0.715292592831361
M8210,5,210,7.90102139051466e-09,0.47,1000,0.0349250842868588,0.0676529006285985,7.90102139051466e-06,0.68504470956276
M1184,1,1184,9.47342432402027e-09,0.479,1000,0.0349250842868588,0.0673002931996765,8.61220393092751e-06,0.693871694104928
M6506,4,506,1.11905590285536e-07,0.485,1000,0.0349250842868588,0.0625264925728936,9.32546585712799e-05,0.628117801701876
M4417,3,417,1.60618240554508e-07,0.498,1000,0.0349250842868588,0.0618316422162779,0.000123552492734237,-0.611765785489808
M1132,1,1132,2.24122057152133e-07,0.491,1000,0.0349250842868588,0.0611919603338659,0.000160087183680095,-0.615257570050005
M4580,3,580,2.57722749293098e-07,0.4975,1000,0.0349250842868588,0.0609240095975379,0.000171815166195399,0.598939469230345
M1154,1,1154,5.31353061105316e-07,0.493,1000,0.0349250842868588,0.0595387515746405,0.000332095663190823,-0.590140558416124
M2233,2,233,1.34933132569616e-06,0.49,1000,0.0349250842868588,0.0577611973198446,0.000793724309233035,-0.575961126558525
M1774,1,1774,6.53212938032178e-06,0.499,1000,0.0349250842868588,0.0547717704622889,0.00362896076684543,-0.528794948088603
M2149,2,149,1.39689468680761e-05,0.4945,1000,0.0349250842868588,0.0533403156803527,0.00735207729898743,-0.509180218168979
M6036,4,36,1.81317961938865e-05,0.483,1000,0.0349250842868588,0.0528506397539859,0.00906589809694325,-0.503233557950011
M4719,3,719,1.94845992326504e-05,0.487,1000,0.0349250842868588,0.0527156924758901,0.00906724877534473,-0.494806965447822
M727,1,727,1.99479473057584e-05,0.4885,1000,0.0349250842868588,0.0526716311459602,0.00906724877534473,-0.501314017437835
M7034,4,1034,2.11844156195033e-05,0.4855,1000,0.0349250842868588,0.0525589122326767,0.00921061548674057,0.49842222037887
M6571,4,571,3.61901731111123e-05,0.4995,1000,0.0349250842868588,0.0515571915824399,0.0150792387962968,0.490323309719088
M1494,1,1494,4.84331016727036e-05,0.482,1000,0.0349250842868588,0.0510136928884646,0.0193267163605982,0.463959273233229
M8811,5,811,5.02494625375553e-05,0.4925,1000,0.0349250842868588,0.050945106601336,0.0193267163605982,-0.467534749594734
M1440,1,1440,0.000237245965559944,0.469,1000,0.0349250842868588,0.0480720413179672,0.0851630828482296,-0.427701235672316
M7751,4,1751,0.000238456631975043,0.498,1000,0.0349250842868588,0.0480626835730844,0.0851630828482296,-0.430692356567533
M3988,2,1988,0.000277243341532375,0.4915,1000,0.0349250842868588,0.0477858242005047,0.0956011522525431,-0.423694912429596
M4919,3,919,0.000352024078246299,0.4785,1000,0.0349250842868588,0.0473479791030135,0.117341359415433,-0.43157225927763
M178,1,178,0.000413099172726031,0.488,1000,0.0349250842868588,0.0470552467218519,0.133257797653558,0.410807687559952
M1993,1,1993,0.000500599523152298,0.479,1000,0.0349250842868588,0.0467043905651927,0.156437350985093,-0.406463782559797
M8324,5,324,0.000695328672488886,0.494,1000,0.0349250842868588,0.0461060899981708,0.210705658329966,0.401135286372778
M5203,3,1203,0.000869082309486535,0.4955,1000,0.0349250842868588,0.0457012745518729,0.255612443966628,0.388562357457772
M9147,5,1147,0.001641952929196,0.494,1000,0.0349250842868588,0.0445531348233766,0.469129408341714,-0.370839691889501
M9057,5,1057,0.00179537846949445,0.4905,1000,0.0349250842868588,0.0443927543219484,0.476991166647726,0.361855838598728
M2765,2,765,0.00179983333471969,0.4835,1000,0.0349250842868588,0.0443883080600389,0.476991166647726,-0.363992496096955
M2501,2,501,0.00181256643326136,0.485,1000,0.0349250842868588,0.0443756608942016,0.476991166647726,0.364581533811531
M5941,3,1941,0.00190784019497688,0.486,1000,0.0349250842868588,0.0442837987508783,0.489189793583814,-0.356725281003207
